
5-grams:
('press', 'release', 'attorney', 'general', 'candidate'): 6
('release', 'attorney', 'general', 'candidate', 'michael'): 6
('candidate', 'michael', 'henry', 'comptroller', 'candidate'): 6
('michael', 'henry', 'comptroller', 'candidate', 'paul'): 6
('henry', 'comptroller', 'candidate', 'paul', 'rodriguez'): 6
('of', 'pay', 'to', 'play', 'corruption'): 6
('press', 'release', 'michael', 'henry', 'becomes'): 6
('release', 'michael', 'henry', 'becomes', 'nys'): 6
('the', 'national', 'ny', 'cpd', '1013'): 6
('2022', 'michael', 'henry', 'for', 'attorney'): 6
('for', 'immediate', 'release', 'october', '6'): 6
('immediate', 'release', 'october', '6', '2022'): 6
('the', 'nassau', 'county', 'sheriff', 's'): 6
('conference', 'of', 'new', 'york', 'the'): 6
('candidate', 'michael', 'henry', 'said', 'henry'): 6
('henry', 'for', 'attorney', 'general', 'michael'): 6
('rt', 'michael', 'henry', '4ag', 'if'): 6
('rt', 'new', 'york', 'gop', 'the'): 6
('michael', 'henry', '4ag', 'today', 'is'): 6
('i', 'll', 'be', 'on', 'wg'): 6
('ll', 'be', 'on', 'wg', 'y'): 6
('ready', 'to', 'save', 'our', 'state'): 6
('n', 'rt', 'michael', 'henry', '4ag'): 6
('save', 'our', 'state', 'gone', 'rt'): 6
('rt', 'michael', 'henry', '4ag', 'tonight'): 6
('michael', 'henry', '4ag', 'new', 'yorkers'): 6
('endorsed', 'my', 'campaign', 'for', 'nys'): 6
('michael', 'henry', '4ag', 'new', 'endorsement'): 6
('e', 'rt', 'michael', 'henry', '4ag'): 6
('michael', 'henry', '4ag', 'we', 'have'): 6
('rt', 'michael', 'henry', '4ag', 'tune'): 6
('rt', 'michael', 'henry', '4ag', 'our'): 6
('michael', 'henry', '4ag', 'this', 'is'): 6
('i', 'll', 'be', 'on', 'with'): 6
('rt', 'michael', 'henry', '4ag', 'bail'): 6
('michael', 'henry', '4ag', 'bail', 'reform'): 6
('rt', 'michael', 'henry', '4ag', 'happy'): 6
('for', 'your', 'support', 'gone', 'rt'): 6
('attorney', 'general', 'press', 'release', 'michael'): 5
('general', 'press', 'release', 'michael', 'henry'): 5
('general', 'candidate', 'michael', 'henry', 'endorsed'): 5
('candidate', 'michael', 'henry', 'endorsed', 'by'): 5
('michael', 'henry', 'endorsed', 'by', 'new'): 5
('henry', 'endorsed', 'by', 'new', 'york'): 5
('endorsed', 'by', 'new', 'york', 'state'): 5
('by', 'new', 'york', 'state', 'troopers'): 5
('general', 'candidate', 'michael', 'henry', 'calls'): 5
('michael', 'henry', 'calls', 'on', 'queens'): 5
('henry', 'calls', 'on', 'queens', 'district'): 5
('calls', 'on', 'queens', 'district', 'attorney'): 5
('on', 'queens', 'district', 'attorney', 'to'): 5
('queens', 'district', 'attorney', 'to', 'upgrade'): 5
('district', 'attorney', 'to', 'upgrade', 'charges'): 5
('attorney', 'to', 'upgrade', 'charges', 'for'): 5
('to', 'upgrade', 'charges', 'for', 'howard'): 5
('upgrade', 'charges', 'for', 'howard', 'beach'): 5
('charges', 'for', 'howard', 'beach', 'subway'): 5
('for', 'howard', 'beach', 'subway', 'attacker'): 5
('statement', 'from', 'nys', 'attorney', 'general'): 5
('from', 'nys', 'attorney', 'general', 'candidate'): 5
('general', 'candidate', 'michael', 'henry', 'on'): 5
('candidate', 'michael', 'henry', 'on', 'letitia'): 5
('michael', 'henry', 'on', 'letitia', 'james'): 5
('civil', 'suit', 'against', 'donald', 'trump'): 5
('ag', 'candidate', 'michael', 'henry', 'calls'): 5
('michael', 'henry', 'calls', 'on', 'letitia'): 5
('henry', 'calls', 'on', 'letitia', 'james'): 5
('calls', 'on', 'letitia', 'james', 'to'): 5
('general', 'candidate', 'michael', 'henry', 'defeating'): 5
('candidate', 'michael', 'henry', 'defeating', 'letitia'): 5
